Pitcher,AutoPitchType,PitchCall,Date
"Sundloff, Colton",Sinker,StrikeCalled,10/14/2023
"Sundloff, Colton",Changeup,BallCalled,10/14/2023
"Sundloff, Colton",Changeup,BallCalled,10/14/2023
"Sundloff, Colton",Sinker,BallCalled,10/14/2023
"Sundloff, Colton",Changeup,BallCalled,10/14/2023
"Sundloff, Colton",Sinker,FoulBall,10/14/2023
"Sundloff, Colton",Sinker,InPlay,10/14/2023
"Sundloff, Colton",Changeup,HitByPitch,10/14/2023
"Sundloff, Colton",Changeup,BallCalled,10/14/2023
"Sundloff, Colton",Sinker,StrikeSwinging,10/14/2023
"Sundloff, Colton",Sinker,BallCalled,10/14/2023
"Sundloff, Colton",Changeup,BallCalled,10/14/2023
"Sundloff, Colton",Sinker,BallCalled,10/14/2023
"Sundloff, Colton",Sinker,BallCalled,10/14/2023
"Sundloff, Colton",Sinker,BallCalled,10/14/2023
"Sundloff, Colton",Sinker,BallCalled,10/14/2023
"Sundloff, Colton",Changeup,BallCalled,10/14/2023
"Thurman, Conner",Slider,BallCalled,10/14/2023
"Thurman, Conner",Slider,StrikeCalled,10/14/2023
"Thurman, Conner",Slider,FoulBall,10/14/2023
"Thurman, Conner",Slider,InPlay,10/14/2023
"Thurman, Conner",Sinker,BallCalled,10/14/2023
"Thurman, Conner",Sinker,InPlay,10/14/2023
"Frize, Drake",Four-Seam,StrikeCalled,10/14/2023
"Frize, Drake",Four-Seam,StrikeCalled,10/14/2023
"Frize, Drake",Changeup,StrikeCalled,10/14/2023
"Frize, Drake",Curveball,BallCalled,10/14/2023
"Frize, Drake",Curveball,StrikeSwinging,10/14/2023
"Frize, Drake",Curveball,StrikeSwinging,10/14/2023
"Frize, Drake",Four-Seam,StrikeCalled,10/14/2023
"Frize, Drake",Four-Seam,BallCalled,10/14/2023
"Frize, Drake",Curveball,BallCalled,10/14/2023
"Frize, Drake",Curveball,StrikeCalled,10/14/2023
"Frize, Drake",Four-Seam,StrikeSwinging,10/14/2023
"Frize, Drake",Four-Seam,StrikeCalled,10/14/2023
"Frize, Drake",Four-Seam,FoulBall,10/14/2023
"Frize, Drake",Sinker,BallCalled,10/14/2023
"Frize, Drake",Changeup,FoulBall,10/14/2023
"Frize, Drake",Four-Seam,InPlay,10/14/2023
"Schrier, Alex",Sinker,InPlay,10/14/2023
"Schrier, Alex",Sinker,BallCalled,10/14/2023
"Schrier, Alex",Changeup,StrikeCalled,10/14/2023
"Schrier, Alex",Sinker,BallCalled,10/14/2023
"Schrier, Alex",Curveball,FoulBall,10/14/2023
"Schrier, Alex",Sinker,BallCalled,10/14/2023
"Schrier, Alex",Changeup,FoulBall,10/14/2023
"Schrier, Alex",Sinker,StrikeCalled,10/14/2023
"Schrier, Alex",Slider,StrikeCalled,10/14/2023
"Schrier, Alex",Sinker,InPlay,10/14/2023
"Schrier, Alex",Curveball,StrikeCalled,10/14/2023
"Schrier, Alex",Curveball,StrikeCalled,10/14/2023
"Schrier, Alex",Changeup,BallCalled,10/14/2023
"Schrier, Alex",Changeup,BallCalled,10/14/2023
"Schrier, Alex",Curveball,StrikeCalled,10/14/2023
"Schrier, Alex",Sinker,InPlay,10/14/2023
,,,
,,,
"Reddemann, Logan",Sinker,BallCalled,10/13/2023
"Reddemann, Logan",Sinker,FoulBall,10/13/2023
"Reddemann, Logan",Curveball,StrikeCalled,10/13/2023
"Reddemann, Logan",Sinker,StrikeSwinging,10/13/2023
"Reddemann, Logan",Sinker,StrikeCalled,10/13/2023
"Reddemann, Logan",Curveball,InPlay,10/13/2023
"Reddemann, Logan",Sinker,BallCalled,10/13/2023
"Reddemann, Logan",Sinker,InPlay,10/13/2023
"Reddemann, Logan",Curveball,BallCalled,10/13/2023
"Reddemann, Logan",Slider,BallCalled,10/13/2023
"Reddemann, Logan",Curveball,BallCalled,10/13/2023
"Reddemann, Logan",Sinker,StrikeCalled,10/13/2023
"Reddemann, Logan",Sinker,InPlay,10/13/2023
"Reddemann, Logan",Curveball,StrikeSwinging,10/13/2023
"Reddemann, Logan",Sinker,InPlay,10/13/2023
"Reddemann, Logan",Sinker,StrikeCalled,10/13/2023
"Reddemann, Logan",Curveball,BallCalled,10/13/2023
"Reddemann, Logan",Changeup,BallCalled,10/13/2023
"Gonzalez, Aidan",Four-Seam,FoulBall,10/13/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/13/2023
"Gonzalez, Aidan",Curveball,BallCalled,10/13/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/13/2023
"Gonzalez, Aidan",Sinker,BallCalled,10/13/2023
"Gonzalez, Aidan",Sinker,InPlay,10/13/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/13/2023
"Gonzalez, Aidan",Sinker,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Slider,StrikeSwinging,10/13/2023
"Gonzalez, Aidan",Sinker,BallCalled,10/13/2023
"Gonzalez, Aidan",Slider,InPlay,10/13/2023
"Gonzalez, Aidan",Slider,BallCalled,10/13/2023
"Gonzalez, Aidan",Four-Seam,BallCalled,10/13/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/13/2023
